scenario,profile,threads,run,run_id,evidence_dir,samples,successes,failures,error_rate_pct,throughput_req_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redis_get_delta,redis_keyspace_hits_delta,redis_keyspace_misses_delta,redis_total_commands_delta,redis_get_per_request,http_429,http_5xx,docker_cpu_pct_avg,docker_mem_pct_avg,host_cpu_pct,host_mem_pct,seckill_voucher_id,initial_stock,accepted,final_redis_stock,mysql_orders,distinct_users,duplicate_orders,redis_ordered_users,stream_pending,stream_dlq,convergence_seconds,correctness_pass,client_limited,status,notes
shop-type,on,100,1,shop-type-on-100-r1,shop-type-on-100-r1,145206,145206,0,0.0,2427.463,25.665,22.0,52.0,78.0,283.0,100,196,0,330,0.0007,0,0,179.06,8.39,99.8,93.6,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop-type,on,100,2,shop-type-on-100-r2,shop-type-on-100-r2,180540,180540,0,0.0,3015.987,21.067,19.0,38.0,51.0,165.0,100,196,0,330,0.0006,0,0,177.31,8.4,97.3,91.5,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
shop-type,on,100,3,shop-type-on-100-r3,shop-type-on-100-r3,380759,380759,0,0.0,6365.504,10.537,8.0,27.0,40.0,118.0,100,196,0,330,0.0003,0,0,191.24,8.41,96.6,91.6,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,100,1,blog-hot-100-r1,blog-hot-100-r1,191629,191629,0,0.0,3198.454,28.169,19.0,85.0,124.0,1060.0,0,128,0,331,0.0,0,0,254.88,8.42,97.7,88.3,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,100,2,blog-hot-100-r2,blog-hot-100-r2,77001,77000,1,0.0013,1271.735,67.75,64.0,114.0,150.0,1156.0,0,130,0,332,0.0,0,0,280.19,8.43,99.0,87.4,,,,,,,,,,,,,true,done,client-side connect failures=1 (JMeter/Windows ephemeral port exhaustion; requests never reached gateway)
blog-hot,,100,3,blog-hot-100-r3,blog-hot-100-r3,47417,47417,0,0.0,791.22,90.977,90.0,150.0,206.0,373.0,0,136,0,337,0.0,0,0,243.41,8.43,100.0,88.1,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,25,1,blog-hot-25-r1,blog-hot-25-r1,40712,40712,0,0.0,679.711,31.879,30.0,48.0,61.0,160.0,0,134,0,334,0.0,0,0,243.37,7.88,98.0,83.4,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,25,2,blog-hot-25-r2,blog-hot-25-r2,54514,54514,0,0.0,910.235,23.567,22.0,37.0,47.0,129.0,0,130,0,361,0.0,0,0,212.26,8.02,96.8,85.6,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,25,3,blog-hot-25-r3,blog-hot-25-r3,111804,111804,0,0.0,1864.923,12.008,10.0,27.0,44.0,84.0,0,128,0,331,0.0,0,0,212.21,8.21,95.4,88.3,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
blog-hot,,50,1,blog-hot-50-r1,blog-hot-50-r1,118873,118873,0,0.0,1984.69,21.682,17.0,48.0,63.0,1045.0,0,128,0,356,0.0,0,0,249.41,8.22,97.6,87.9,,,,,,,,,,,,,true,done,"client-limited (host CPU saturated, containers not)"
